"STATISTIC","Year","Sex","UNIT","VALUE"
"Births by Occurrence","1948","Male","Number","33993"
"Births by Occurrence","1948","Female","Number","31937"
"Births by Occurrence","1949","Both sexes","Number","64153"
"Births by Occurrence","1949","Male","Number","32880"
"Births by Occurrence","1949","Female","Number","31273"
"Births by Occurrence","1950","Both sexes","Number","63565"
"Births by Occurrence","1950","Male","Number","32867"
"Births by Occurrence","1950","Female","Number","30698"
"Births by Occurrence","1951","Both sexes","Number","62878"
"Births by Occurrence","1951","Male","Number","32303"
"Births by Occurrence","1951","Female","Number","30575"
"Births by Occurrence","1952","Both sexes","Number","64631"
"Births by Occurrence","1952","Male","Number","33026"
"Births by Occurrence","1952","Female","Number","31605"
"Births by Occurrence","1953","Both sexes","Number","62558"
"Births by Occurrence","1953","Male","Number","32241"
"Births by Occurrence","1953","Female","Number","30317"
"Births by Occurrence","1954","Both sexes","Number","62534"
"Births by Occurrence","1954","Male","Number","32087"
"Births by Occurrence","1954","Female","Number","30447"
"Births by Occurrence","1955","Both sexes","Number","61622"
"Births by Occurrence","1955","Male","Number","31483"
"Births by Occurrence","1955","Female","Number","30139"
"Births by Occurrence","1956","Both sexes","Number","60740"
"Births by Occurrence","1956","Male","Number","31257"
"Births by Occurrence","1956","Female","Number","29483"
"Births by Occurrence","1957","Both sexes","Number","61242"
"Births by Occurrence","1957","Male","Number","31335"
"Births by Occurrence","1957","Female","Number","29907"
"Births by Occurrence","1958","Both sexes","Number","59510"
"Births by Occurrence","1958","Male","Number","30498"
"Births by Occurrence","1958","Female","Number","29012"
"Births by Occurrence","1959","Both sexes","Number","60188"
"Births by Occurrence","1959","Male","Number","30685"
"Births by Occurrence","1959","Female","Number","29503"
"Births by Occurrence","1960","Both sexes","Number","60735"
"Births by Occurrence","1960","Male","Number","31141"
"Births by Occurrence","1960","Female","Number","29594"
"Births by Occurrence","1961","Both sexes","Number","59825"
"Births by Occurrence","1961","Male","Number","30687"
"Births by Occurrence","1961","Female","Number","29138"
"Births by Occurrence","1962","Both sexes","Number","61782"
"Births by Occurrence","1962","Male","Number","31650"
"Births by Occurrence","1962","Female","Number","30132"
"Births by Occurrence","1963","Both sexes","Number","63246"
"Births by Occurrence","1963","Male","Number","32486"
"Births by Occurrence","1963","Female","Number","30760"
"Births by Occurrence","1964","Both sexes","Number","64072"
"Births by Occurrence","1964","Male","Number","32759"
"Births by Occurrence","1964","Female","Number","31313"
"Births by Occurrence","1965","Both sexes","Number","63525"
"Births by Occurrence","1965","Male","Number","32438"
"Births by Occurrence","1965","Female","Number","31087"
"Births by Occurrence","1966","Both sexes","Number","62215"
"Births by Occurrence","1966","Male","Number","32173"
"Births by Occurrence","1966","Female","Number","30042"
"Births by Occurrence","1967","Both sexes","Number","61307"
"Births by Occurrence","1967","Male","Number","31642"
"Births by Occurrence","1967","Female","Number","29665"
"Births by Occurrence","1968","Both sexes","Number","61004"
"Births by Occurrence","1968","Male","Number","31469"
"Births by Occurrence","1968","Female","Number","29535"
"Births by Occurrence","1969","Both sexes","Number","62912"
"Births by Occurrence","1969","Male","Number","32143"
"Births by Occurrence","1969","Female","Number","30769"
"Births by Occurrence","1970","Both sexes","Number","64382"
"Births by Occurrence","1970","Male","Number","33131"
"Births by Occurrence","1970","Female","Number","31251"
"Births by Occurrence","1971","Both sexes","Number","67551"
"Births by Occurrence","1971","Male","Number","34751"
"Births by Occurrence","1971","Female","Number","32800"
"Births by Occurrence","1972","Both sexes","Number","68527"
"Births by Occurrence","1972","Male","Number","35375"
"Births by Occurrence","1972","Female","Number","33152"
"Births by Occurrence","1973","Both sexes","Number","68713"
"Births by Occurrence","1973","Male","Number","35304"
"Births by Occurrence","1973","Female","Number","33409"
"Births by Occurrence","1974","Both sexes","Number","68907"
"Births by Occurrence","1974","Male","Number","35432"
"Births by Occurrence","1974","Female","Number","33475"
"Births by Occurrence","1975","Both sexes","Number","67178"
"Births by Occurrence","1975","Male","Number","34532"
"Births by Occurrence","1975","Female","Number","32646"
